CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BN01,BN01s,BN02,BN02s,BN03,BN03s,DB01,DB01s,IV01_01,SC01,SC02,SC03,SC04,SC05,SC06_01,SD01,SD02_01,SD07,SD07_04,SD11,SD11_10,SD13,SD14,SD14_08,SD16,SD18_01,TP01,TP01s,TP02,TP02s,TP03,TP03s,TP04,TP04s,TP05,TP05s,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
54.0,,,base,interview,2025-12-01 13:45:52,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,it's about whether random people can interpret numerical data,1.0,54.0,4.0,UK,8.0,,1.0,4.0,,9.0,I don't know why I was required to repeat essentially the same formula for how the probabilities were arrived at since all the cases followed exactly the same structure,-2.0,5 out of 105 calculated by adding true and false positives for denominator with true positives as numerator,-2.0,8 of 1007 -true positives as numerator/ true + false positives as denominator,-2.0,9 of 359 - true positives as numerator/true + false positives as denominator,-2.0,80 of 1070 - true positives divided by true + false positives,-2.0,160 of 5150 true positives divided by true + false positives,22.0,31.0,340.0,28.0,138.0,51.0,24.0,634.0,,2025-12-01 13:56:26,,1.0,0.0,7.0,7.0,4.0,0.0,1.21
55.0,,,base,interview,2025-12-01 13:45:55,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,86.0,,,,,,89.0,,2025-12-01 13:47:24,,0.0,0.0,2.0,2.0,0.0,0.0,1.9
56.0,,,base,interview,2025-12-01 13:46:00,2.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,3.0,1.0,1.0,general skills,1.0,37.0,4.0,England,8.0,,5.0,6.0,,5.0,no,-2.0,5 out of 105. I calculate dthis by adding the positives together then subtracting the false positives.,-2.0,8 out of 1007. I added up the total number flagged and subtracted the 999 incorrectly flagged ones.,-2.0,"9 out of 359. I added the total  number who tested positive, then subtracted the false positives.",-2.0,80 out of 1070. I added together the flagged detections and subtracted the incorrectly flagged ones.,-2.0,160 out of 5150. I added toegther the flagges violations and subtracted the incorrectly flagged ones.,16.0,4.0,325.0,61.0,41.0,26.0,8.0,481.0,,2025-12-01 13:54:01,,1.0,0.0,7.0,7.0,4.0,0.0,1.53
57.0,,,base,interview,2025-12-01 13:46:16,2.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,3.0,1.0,1.0,How to extrapolate numerical information .,2.0,54.0,4.0,United Kingdom,8.0,,1.0,4.0,,8.0,No,-2.0,"5 out of 105. Calculated by adding positives to false positives, then comparing true positives",-2.0,10 out of 1009.  Calculated by adding true to false flags and highlighting the true ones.,-2.0,9 out of 359. Calculated by adding false positives to positive tests and extrapolating the true positives.,-2.0,"80 out of 1070. I added the false flags to correct flags, then highlighted correct flags.",-2.0,160 out of 5150. Calculated by adding false flags to true flags and highlighting true flags.,4.0,21.0,539.0,91.0,49.0,57.0,12.0,773.0,,2025-12-01 13:59:09,,1.0,0.0,7.0,7.0,4.0,0.0,1.45
58.0,,,base,interview,2025-12-01 13:46:53,1.0,,2.0,,1.0,,-9.0,,2.0,2.0,1.0,4.0,1.0,1.0,problem solving ability,1.0,22.0,4.0,England,7.0,,1.0,4.0,,2.0,some where hard to answer,-2.0,"5 out of 105 i calculated this by adding the true positive and false positives, then finding out how many were true positivies",-2.0,"10 out of 999 calculated this by adding the true detections and false flags together, then finding how many were true detections",-2.0,"9 out of 359 I calculated this by adding the true positives and false positives together, then finding how many were true positives.",-2.0,"100 out of 1070 I calculated this by adding the true violations and false flags together, then finding how many were true violations.",-2.0,"200 out of 5150 I calculated this by adding the true violations and false flags together, then finding how many were true violations.",3.0,3.0,374.0,109.0,46.0,31.0,6.0,572.0,,2025-12-01 13:56:26,,1.0,0.0,7.0,7.0,4.0,0.0,1.73
59.0,,,base,interview,2025-12-01 13:47:25,1.0,,2.0,,1.0,,-9.0,,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,23.0,4.0,England,8.0,,5.0,8.0,Carer,3.0,No,-2.0,5 out of 100 Beacuse the question states that 5 women have breast cancer and that they all tested postive.,-2.0,"10 out of 10,000 because the question state that 10 contain CSAM.",-2.0,"10 out 0f 7,000 because it states that in the question",-2.0,"100 out of 10,000 because it is stated in the question",-2.0,"200 out of 100,000 because it states it in the question",7.0,9.0,638.0,383.0,82.0,39.0,12.0,894.0,,2025-12-01 14:06:55,,1.0,0.0,7.0,7.0,8.0,3.0,1.11
60.0,,,base,interview,2025-12-01 13:47:27,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0,,,,,,32.0,,2025-12-01 13:47:59,,0.0,0.0,2.0,2.0,0.0,0.0,2.03
61.0,,,base,interview,2025-12-01 13:47:35,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,How an average person interprets data and can extract the requested informaiton from a data set,2.0,33.0,4.0,United Kingdom,7.0,,1.0,4.0,,5.0,nothing to add.,-2.0,"5 out of 105. I calculated this by adding the true positives and false positives together, then finding out how many were true positives",-2.0,"8 out of 1007. I calculated this by adding the true detections and false flags together, then finding out how many were true detections",-2.0,"9 out of 359. I calculated this by adding the true positives and false positives together, then finding out how many were true positives.",-2.0,"80 out of 1070. I calculated this by adding the true violations and false flags together, then finding out how many were true violations.",-2.0,"160 out of 5150. I calculated this by adding the true violations and false flags together, then finding out how many were true violations",5.0,22.0,512.0,71.0,34.0,45.0,15.0,704.0,,2025-12-01 13:59:19,,1.0,0.0,7.0,7.0,4.0,0.0,1.53
63.0,,,base,interview,2025-12-01 13:47:46,1.0,,2.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,,2.0,53.0,4.0,uk,7.0,,1.0,4.0,,10.0,Instructions on page 1 were too complicated to explain what we were supposed to do on page 2.,-2.0,5 out of 105. 5 out of 1000 have breast cancer. 105 out of 1000 test positive.,-2.0,"8 out of 1000. 10 out of 10000 actually contain CSAM,  but the screening only had an 80% success.",-2.0,9 out of 7000. The testing is only 90% effective so 1 of the 10 is missed.,-2.0,"80 out of 10000. The system is only 80% effective, only flagging 80 out of the 100.",-2.0,160 out of 100000. Only 160 out of the 200 are detected.,17.0,99.0,835.0,149.0,108.0,22.0,14.0,1244.0,,2025-12-01 14:08:30,,1.0,0.0,7.0,7.0,8.0,3.0,0.76
64.0,,,base,interview,2025-12-01 13:47:50,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,,2.0,50.0,4.0,united kingdom,8.0,,1.0,4.0,,10.0,it was fine,-2.0,5 out of 100,-2.0,10 out of 999,-2.0,10 out of 351,-2.0,80 out of 1090,-2.0,160 out of 99800,8.0,153.0,429.0,55.0,85.0,34.0,8.0,772.0,,2025-12-01 14:00:42,,1.0,0.0,7.0,7.0,8.0,3.0,1.07
65.0,,,base,interview,2025-12-01 13:48:23,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,25.0,,,,,,33.0,,2025-12-01 13:48:56,,0.0,0.0,2.0,2.0,0.0,0.0,1.99
66.0,,,base,interview,2025-12-01 13:48:59,1.0,,-2.0,40.0,1.0,,-9.0,,2.0,2.0,1.0,3.0,1.0,1.0,Peoples understanding of statistics,1.0,51.0,4.0,UK,6.0,,1.0,6.0,,6.0,no,-2.0,5 out of 105. I added both total postives and then fund out the true positive,-2.0,8 out of 1007. I added all the messages flagged and gave the number that was detected,-2.0,"9 out of 359.I calculated this by adding the true positives and false positives together, then listing how many were true positives.",-2.0,"1070. I calculated this by adding the true violations and false flags together, and listed how many correctly flagged",-2.0,"5150. I calculated this by adding the true violations and false flags together, then listing how many flagged were correct",5.0,486.0,270.0,107.0,42.0,23.0,5.0,938.0,,2025-12-01 14:04:37,,1.0,0.0,7.0,7.0,4.0,0.0,1.36
67.0,,,base,interview,2025-12-01 13:49:17,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,Being able to decipher probablities from text,2.0,43.0,4.0,United Kingdom,8.0,,1.0,4.0,,11.0,Once your rationalale has been written then it feels pointless repeating it for each example as it is the same,-2.0,"5 out of 105.  i calculated this by adding the true positives and false positives together, then showing how many were true positives",-2.0,"8 out of 1007. i calculated this by adding the true positives and false positives together, then showing how many were true positives",-2.0,"9 out of 359. i calculated this by adding the true positives and false positives together, then showing how many were true positives",-2.0,"80 out of 1070. i calculated this by adding the true violations and false flags together, then showing how many were true violations",-2.0,"160 out of 5150. i calculated this by adding the true violations and false flags together, then showing how many were true violations",20.0,168.0,290.0,65.0,81.0,44.0,13.0,681.0,,2025-12-01 14:00:38,,1.0,0.0,7.0,7.0,4.0,0.0,0.9
68.0,,,base,interview,2025-12-01 13:49:21,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,12.0,,2025-12-01 13:49:33,,0.0,0.0,1.0,1.0,0.0,0.0,0.83
69.0,,,base,interview,2025-12-01 13:49:34,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,,,,,,13.0,,2025-12-01 13:49:47,,0.0,0.0,2.0,2.0,0.0,0.0,2.75
70.0,,,base,interview,2025-12-01 13:49:36,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,123.0,,,,,,142.0,,2025-12-01 13:51:58,,0.0,0.0,2.0,2.0,0.0,0.0,0.54
71.0,,,base,interview,2025-12-01 13:50:05,1.0,,2.0,,-2.0,33.0,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,"it was a way of presenting information in a difficult to understand way , and trying to get you to digest the information ",2.0,53.0,4.0,UK,3.0,,1.0,6.0,,5.0,the wording of the question made it difficult to actually answer in the format you wanted,-2.0,5 out of 1000  it stated only 5 people had breast cancer in the summary,-2.0,"10 out of 9001 although according to the summary only 8 where detected by the screening program , with 999 incorrectly flagged",-2.0,"10 out of 7000 , according to the summary only 9 result positive after screening",-2.0,"80 out of 9010 where flagged by the screening as containing violations , but there where 990 incorrect resukts",-2.0,160 out of 95010 as there where 4990 incorrect flags however there where actually 200 containing hate sppech,7.0,59.0,817.0,193.0,76.0,72.0,14.0,1238.0,,2025-12-01 14:10:43,,1.0,0.0,7.0,7.0,4.0,0.0,0.8
72.0,,,base,interview,2025-12-01 13:50:07,1.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,4.0,1.0,1.0,,2.0,34.0,4.0,UK,7.0,,1.0,4.0,,5.0,none,-2.0,"5 out of 105 True positives 5 + false positives 100 = 105, 5 are true.",-2.0,"8 out of 1,007 True detections 8 + false flags 999 = 1,007, 8 are true.",-2.0,"9 out of 359 True positives 9 + false positives 350 = 359, 9 are true.",-2.0,"80 out of 1,070 True violations 80 + false flags 990 = 1,070, 80 are true.",-2.0,"160 out of 5,150 True violations 160 + false flags 4,990 = 5,150, 160 are true.",3.0,2.0,438.0,29.0,778.0,28.0,3.0,571.0,,2025-12-01 14:11:28,,1.0,0.0,7.0,7.0,8.0,3.0,2.0
73.0,,,base,interview,2025-12-01 13:50:14,2.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,38.0,4.0,united kingdom,8.0,,1.0,5.0,,4.0,no all was ok,-2.0,5 out of 1000 i calculated this by how many have it and how mant test poistive,-2.0,10 out of 999 i calculated this by how many are present and how many get flagged,-2.0,9 out of 350 i calculated it by how many have it and how many get picked up,-2.0,80 out of 990 i calculated this by how many get flagged and how many get falsely flagged,-2.0,160 out of 5150 i calculated this by how many get flagged plus how many get falsely flagged,12.0,135.0,735.0,128.0,68.0,39.0,12.0,1129.0,,2025-12-01 14:09:03,,1.0,0.0,7.0,7.0,8.0,3.0,0.76
74.0,,,base,interview,2025-12-01 13:50:18,1.0,,2.0,,3.0,,-9.0,,2.0,2.0,1.0,2.0,1.0,1.0,Mental arthrimatic based on age and gender and location,1.0,50.0,4.0,UK,10.0,Literature,2.0,6.0,,6.0,Yes I found the first page really unclear but the second much easier to navigate,-2.0,5 out of 1000; I calculated this by subtracting the true positives from the 1000 women,-2.0,10 out of 10000. I calculated this by adding the true detections and flase detections and then finding how many were true detections.,-2.0,10 out of 360. I calculated this by adding the true positives and false positives together then finding how many were true positives,-2.0,80 out of 100. I detracted the essays with violations detected by the system against the 100 essayes with violations.,-2.0,160 out of 200. I calculated this by adding the true hate speech violations against those flagged by the system.,21.0,42.0,470.0,83.0,74.0,39.0,8.0,737.0,,2025-12-01 14:02:35,,1.0,0.0,7.0,7.0,4.0,0.0,1.02
75.0,,,base,interview,2025-12-01 13:50:22,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,Understanding probability and statistics,2.0,51.0,4.0,UK,8.0,,1.0,5.0,,11.0,No thank you.,-2.0,"1000 out of 1000. Calculated by adding the number with breast cancer who test positive (5), with the number who don't but test positive (995)",-2.0,"8 out of 1009. There are 10 CSAM images in total, and only 8 of those were detected by the AI.",-2.0,"9 out of 359. I added the true positives (9) to the false positives (350), then identifying the number of true positives.",-2.0,"80 out of 1070. I added the true violations which were detected (80) to the false positives (990), then identified the actual number of truly detected violations.",-2.0,"160 out of 5150. I added the number of true violations detected (160) to the false flags (4990), then identified the number of true positives.",45.0,38.0,601.0,107.0,39.0,44.0,9.0,883.0,,2025-12-01 14:05:05,,1.0,0.0,7.0,7.0,4.0,0.0,1.02
76.0,,,base,interview,2025-12-01 13:50:34,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,58.0,,,,,,68.0,,2025-12-01 13:51:42,,0.0,0.0,2.0,2.0,0.0,0.0,1.09
77.0,,,base,interview,2025-12-01 13:50:40,1.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,4.0,1.0,1.0,,2.0,46.0,4.0,United Kingdom,8.0,,2.0,7.0,,1.0,no everything was good.,-2.0,5 out of 105. I calculated this by adding the true positives and false positives together I then removed the true positives.,-2.0,"8 out of 1007. I calculated this by adding the true detections and false flags together, then finding how many were true detections.",-2.0,"9 out of 360. I calculated this by adding the true positives and false positives together, then finding how many were true positives.",-2.0,"80 out of 1070. I calculated this by adding the true violations and false flags together, then finding how many were true violations.",-2.0,"200 out of 5190. I calculated this by adding the true violations and false flags together, then finding how many were true violations.",5.0,2.0,511.0,66.0,600.0,21.0,3.0,676.0,,2025-12-01 14:10:48,,1.0,0.0,7.0,7.0,8.0,3.0,1.71
78.0,,,base,interview,2025-12-01 13:51:02,1.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,4.0,1.0,1.0,,2.0,36.0,4.0,United Kingdom,8.0,,1.0,6.0,,9.0,"All the instructions were clear, I had no emotional disturbances while participating.",-2.0,5 out of 105. From the scenario we are told that exactly 105 (5 + 100) people test positive. Of these only 5 actually had breast cancer.,-2.0,"8 out of 1007. In total there were 8 true positives and 999 false positives, add them to get all positives. Out of these only 8 were true.",-2.0,"9 out of 359. The test returns 359 (9 + 350) positive results. Of those, only 9 are carrying a fetus with Down syndrome.",-2.0,80 out of 1070. Total number of flags is 1070 (80 + 990). Of these only 80 were true positives.,-2.0,160 out of 5150. Total number of flags is 5150 (160 + 4990). Of these only 160 were true positives.,38.0,786.0,738.0,246.0,88.0,36.0,14.0,1228.0,,2025-12-01 14:23:28,,1.0,0.0,7.0,7.0,8.0,3.0,0.53
79.0,,,base,interview,2025-12-01 13:51:10,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,158.0,,,,,,173.0,,2025-12-01 13:54:03,,0.0,0.0,2.0,2.0,0.0,0.0,0.55
80.0,,,base,interview,2025-12-01 13:51:13,5.0,,3.0,,3.0,,-9.0,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,37.0,4.0,United Kingdom,4.0,,4.0,8.0,Home,9.0,Nothing to add,-2.0,105/1000,-2.0,8/10000,-2.0,10/7000,-2.0,10/10000,-2.0,200/100000,134.0,10.0,370.0,36.0,33.0,14.0,3.0,476.0,,2025-12-01 14:01:13,,1.0,0.0,7.0,7.0,8.0,3.0,2.07
81.0,,,base,interview,2025-12-01 13:51:18,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,55.0,4.0,UK,8.0,,4.0,6.0,,4.0,no,-2.0,105 out of 1000; I calcullated this by adding the true positives together.,-2.0,1009 out of 10000; I calculated this by adding the true positives and the incorrectly flagged together.,-2.0,10 out of 7000; i calculated this by adding only the true positives,-2.0,1090 out of 10000; I calculated this by adding the true positives and the incorrectly flagged cases,-2.0,5290 out of 100000; i calculated this by adding the trye positives and the incorrectly flagged cases,28.0,40.0,528.0,159.0,28.0,25.0,5.0,813.0,,2025-12-01 14:04:51,,1.0,0.0,7.0,7.0,8.0,3.0,1.29
82.0,,,base,interview,2025-12-01 13:51:34,1.0,,1.0,,1.0,,-9.0,,2.0,2.0,1.0,3.0,1.0,1.0,No idea,1.0,33.0,4.0,UK,7.0,,1.0,6.0,,12.0,No all good,-2.0,5 out of 105 as there are 5 with cancer and they test poisitive + the 100 who test positive who don't have cancer,-2.0,8 out of 1007 as 8 are detected that are CSAM + 999 incorrectly flagged,-2.0,9 out of 359 as 9 who do have it and correctly identified and 350 who incorrectly test positive,-2.0,80 out of 1070 as 80 are correctly identified for violations + 990 who are incorrectly flagged,-2.0,160 out of 5150 as 160 correctly identified as hate speech and 4990 who are incorrectly flagged.,4.0,2.0,383.0,75.0,31.0,35.0,11.0,541.0,,2025-12-01 14:00:36,,1.0,0.0,7.0,7.0,4.0,0.0,1.71
84.0,,,base,interview,2025-12-01 13:51:42,-2.0,30 times,-2.0,30.0,1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,,2.0,46.0,4.0,USA,8.0,,1.0,5.0,,8.0,N/A,-2.0,5 out of 105. I calculated by adding the 5 positives and the 100 false positives.,-2.0,"8 out of 1007, I added the incorrectly flaged and the 10 which actually have CSAM minus 2",-2.0,"9 out of 359. I added 350 false positives and the 10 true positives to get 360, but 10 true positives are real minus one.",-2.0,80 out of 1040. I calculated y adding 990 incorrectly flagged plus 80 correctly flagged minus 30 who were not flagged,-2.0,160 out of 5150. I calculated by adding true flagged plus false flagged,18.0,598.0,1752.0,248.0,122.0,63.0,10.0,957.0,,2025-12-01 14:38:33,,1.0,0.0,7.0,7.0,8.0,3.0,0.47
85.0,,,base,interview,2025-12-01 13:52:02,1.0,,-2.0,20 (assuming 50% population is men),1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,comprehension of basic statistics,2.0,28.0,4.0,uk,7.0,,1.0,4.0,,5.0,no ,-2.0,5 out of 105. the number of true positives out of the sum of the true positives and the false positives,-2.0,"8 out of 1007; i calculated the sum of true positives and the false positives, then the number of true positives",-2.0,9 out of 359; the number of true positives over the sum of true positives and false positives,-2.0,80 out of 1070; the number of true positives over the sum of false and true positives,-2.0,160 out of 5150; the number of true positives over the sum of true and false positives,3.0,301.0,426.0,119.0,38.0,29.0,10.0,926.0,,2025-12-01 14:07:28,,1.0,0.0,7.0,7.0,4.0,0.0,1.28
86.0,,,base,interview,2025-12-01 13:52:03,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,2025-12-01 13:52:06,,0.0,0.0,1.0,1.0,0.0,0.0,3.0
87.0,,,base,interview,2025-12-01 13:52:06,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,,,,,,12.0,,2025-12-01 13:52:18,,0.0,0.0,2.0,2.0,0.0,0.0,2.5
88.0,,,base,interview,2025-12-01 13:52:08,1.0,,-2.0,40.0,-2.0,23.0,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,,1.0,44.0,4.0,England,8.0,,1.0,4.0,,4.0,NA,-2.0,105 out of 1000. I calculated this by adding the number of positives together,-2.0,1009 out of 1000 contained CSAM I calculated this by adding the the number of containing CSAM and those which were incorrectly flagged by the system,-2.0,360 out of 7000. I calculated this by adding those carrying a fetus with Down syndrome with those who tested positive,-2.0,1070 out of 10000. I calculated by those flagged as having violations with those incorrectly flagged as not having violations,-2.0,5150 out of 100000. I calculated this by adding those flagged by the system with those incorrectly flagged by the system,6.0,5.0,668.0,372.0,47.0,28.0,8.0,869.0,,2025-12-01 14:11:02,,1.0,0.0,7.0,7.0,8.0,3.0,1.33
89.0,,,base,interview,2025-12-01 13:52:17,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16.0,,,,,,20.0,,2025-12-01 13:52:37,,0.0,0.0,2.0,2.0,0.0,0.0,2.75
